Mosque Name,Email,Phone,State,Template Used,Date Sent,Opened?,Replied?,Response Type,Follow-Up 1 Date,Follow-Up 2 Date,Outcome,Notes,Next Action
Al Madinah Mosque,info@almadinahmasjid.org.au,+61 485 500 096,NSW,,,,,,,,,,"Test Batch - Send First"
Artarmon Mosque,info@aiccentre.org.au,+61 2 9643 0314,NSW,,,,,,,,,,"Test Batch - Send First"
Bangladesh Islamic Centre of NSW,admin@bicnsw.org,+61 404 515 482,NSW,,,,,,,,,,"Test Batch - Send First"
Bilal Mosque | Masjid Bilal,info@aiccentre.org.au,+61 1800 417 779,NSW,,,,,,,,,,"Test Batch - Send First"
Canberra Islamic Centre (CIC),bookings@canberraislamiccentre.org.au,+61 1800 885 786,ACT,,,,,,,,,,"Test Batch - Send First"
Friday Prayer (Jumu'ah) Level 3,info@uma.org.au,+61 430 329 224,NSW,,,,,,,,,,
Iqro Mosque,info.perth@iqro.org.au,+61 422 466 165,NSW,,,,,,,,,,
Masjid Darul IMAAN,info@imaan.com.au,+61 2 8959 3414,NSW,,,,,,,,,,
Sefton Mosque,admin@bicnsw.org,+61 406 690 446,NSW,,,,,,,,,,
UMA Incorporated & Mosque,info@uma.org.au,+61 1300 730 693,NSW,,,,,,,,,,
Australia Light Foundation - Olsen Place (Musalla),office@australialightfoundation.com.au,,VIC,,,,,,,,,,
Australian Islamic Centre College,admin@aicc.vic.edu.au,+61 3 9000 0177,VIC,,,,,,,,,,
indonesia community,masjid.westall@imcv.org.au,,VIC,,,,,,,,,,
Melbourne Multicultural Centre / Golden Wattle Masjid,mmc@ipdc.org.au,+61 425 200 871,VIC,,,,,,,,,,
PGCC,administration@pgcc.org.au,+61 1800 953 766,VIC,,,,,,,,,,
Ahlulbayt Community of Western Australia,admin@ahlulbaytcommunity.org,+61 423 959 758,WA,,,,,,,,,,
Armadale Masjid And Islamic Center (AMIC),donateAMIC@ipdc.org.au,+61 8 6594 1997,WA,,,,,,,,,,
IQRO Centre Perth,info.perth@iqro.org.au,+61 479 141 414,WA,,,,,,,,,,
Nasir Mosque,contact@nasirmosque.org,+61 8 9494 2206,WA,,,,,,,,,,
Brisbane Islamic Centre,secretary@bic.org.au,+61 468 825 786,Unknown,,,,,,,,,,
